country,country_code,year_week,level,region,region_name,new_cases,tests_done,population,testing_rate,positivity_rate,testing_data_source
Austria,AT,2020-W15,national,AT,Austria,1838,12339,8901064,138.6238769,14.89585866,Manual webscraping
Austria,AT,2020-W16,national,AT,Austria,684,58488,8901064,657.0899838,1.169470661,Manual webscraping
Austria,AT,2020-W17,national,AT,Austria,448,33443,8901064,375.7191275,1.33959274,Manual webscraping
Austria,AT,2020-W18,national,AT,Austria,312,26598,8901064,298.8182087,1.173020528,Country website
Austria,AT,2020-W19,national,AT,Austria,264,42153,8901064,473.5725976,0.626289944,Country website
Austria,AT,2020-W20,national,AT,Austria,335,46001,8901064,516.8033844,0.728245038,Country website
Austria,AT,2020-W21,national,AT,Austria,265,39348,8901064,442.0595111,0.673477686,Country website
Austria,AT,2020-W22,national,AT,Austria,195,46677,8901064,524.3979821,0.417764638,Country website
Austria,AT,2020-W23,national,AT,Austria,227,41063,8901064,461.3268706,0.552809098,Country website
Austria,AT,2020-W24,national,AT,Austria,172,35243,8901064,395.941429,0.488040178,Country website
Austria,AT,2020-W25,national,AT,Austria,248,15775,8901064,177.2260035,1.572107765,Country website
Austria,AT,2020-W26,national,AT,Austria,335,61905,8901064,695.4786529,0.541151765,Country website
Austria,AT,2020-W27,national,AT,Austria,640,45284,8901064,508.7481676,1.413302712,Country website
Austria,AT,2020-W28,national,AT,Austria,596,48936,8901064,549.7769705,1.21791728,Country website
Austria,AT,2020-W29,national,AT,Austria,784,51929,8901064,583.4021641,1.509753702,Country website
Austria,AT,2020-W30,national,AT,Austria,872,99229,8901064,1114.799309,0.878775358,Country website
Austria,AT,2020-W31,national,AT,Austria,794,57416,8901064,645.0464798,1.382889787,Country website
Austria,AT,2020-W32,national,AT,Austria,722,56554,8901064,635.3622443,1.276655939,Country website
Austria,AT,2020-W33,national,AT,Austria,1462,56622,8901064,636.1261979,2.582035251,Country website
Austria,AT,2020-W34,national,AT,Austria,1907,76497,8901064,859.4141105,2.492908219,Country website
Austria,AT,2020-W35,national,AT,Austria,1941,77105,8901064,866.2447546,2.517346476,Country website
Austria,AT,2020-W36,national,AT,Austria,2268,83733,8901064,940.7077626,2.708609509,Country website
Austria,AT,2020-W37,national,AT,Austria,3997,86241,8901064,968.8841694,4.634686518,Country website
Austria,AT,2020-W38,national,AT,Austria,5211,102617,8901064,1152.862175,5.078105967,Country website
Austria,AT,2020-W39,national,AT,Austria,4656,110816,8901064,1244.974758,4.201559342,Country website
Austria,AT,2020-W40,national,AT,Austria,5597,130874,8901064,1470.318605,4.276632486,Country website
Austria,AT,2020-W41,national,AT,Austria,7486,124663,8901064,1400.54043,6.004989452,TESSy
Austria,AT,2020-W42,national,AT,Austria,9903,129647,8901064,1456.533736,7.638433593,TESSy
Austria,AT,2020-W43,national,AT,Austria,18273,158997,8901064,1786.269597,11.49266967,TESSy
Austria,AT,2020-W44,national,AT,Austria,31613,167926,8901064,1886.583447,18.82555411,TESSy
Austria,AT,2020-W45,national,AT,Austria,44758,199567,8901064,2242.057803,22.42755566,TESSy
Austria,AT,2020-W46,national,AT,Austria,47880,215044,8901064,2415.935893,22.26521084,TESSy
Austria,AT,2020-W47,national,AT,Austria,40742,207745,8901064,2333.93446,19.611543,TESSy
Austria,AT,2020-W48,national,AT,Austria,31162,196461,8901064,2207.163099,15.86167229,TESSy
Austria,AT,2020-W49,national,AT,Austria,23078,163770,8901064,1839.892399,14.09171399,TESSy
Austria,AT,2020-W50,national,AT,Austria,18701,162984,8901064,1831.061994,11.47413243,TESSy
Austria,AT,2020-W51,national,AT,Austria,14864,185766,8901064,2087.008924,8.001464208,TESSy
Austria,AT,2020-W52,national,AT,Austria,13340,163961,8901064,1842.03821,8.136081141,TESSy
Austria,AT,2020-W53,national,AT,Austria,14894,127657,8901064,1434.176858,11.66720196,TESSy
Austria,AT,2021-W01,national,AT,Austria,14633,137035,8901064,1539.535049,10.67829387,TESSy
Austria,AT,2021-W02,national,AT,Austria,10946,911735,8901064,10242.98893,1.200568148,TESSy
Austria,AT,2021-W03,national,AT,Austria,10165,1144351,8901064,12856.33942,0.888276412,TESSy
Austria,AT,2021-W04,national,AT,Austria,9513,655713,8901064,7366.681107,1.450787158,TESSy
Austria,AT,2021-W05,national,AT,Austria,9119,960284,8901064,10788.4181,0.949614906,TESSy
Austria,AT,2021-W06,national,AT,Austria,9457,1477892,8901064,16603.54313,0.639897909,TESSy
Austria,AT,2021-W07,national,AT,Austria,11635,1500910,8901064,16862.14142,0.775196381,TESSy
Austria,AT,2021-W08,national,AT,Austria,14195,1582385,8901064,17777.48143,0.89706361,TESSy
Austria,AT,2021-W09,national,AT,Austria,16324,1651867,8901064,18558.08474,0.988215153,TESSy
Austria,AT,2021-W10,national,AT,Austria,18225,1829934,8901064,20558.59839,0.995937558,TESSy
Austria,AT,2021-W11,national,AT,Austria,21094,1991339,8901064,22371.92093,1.059287243,TESSy
Austria,AT,2021-W12,national,AT,Austria,22326,2081325,8901064,23382.87872,1.072682066,TESSy
Austria,AT,2021-W13,national,AT,Austria,20788,2169545,8901064,24373.99619,0.958173258,TESSy
Austria,AT,2021-W14,national,AT,Austria,17616,2067620,8901064,23228.90836,0.85199408,TESSy
Austria,AT,2021-W15,national,AT,Austria,16822,2165967,8901064,24333.79875,0.776650798,TESSy
Austria,AT,2021-W16,national,AT,Austria,15048,2063585,8901064,23183.5767,0.729216388,TESSy
Austria,AT,2021-W17,national,AT,Austria,12537,1951838,8901064,21928.14252,0.642317651,TESSy
Austria,AT,2021-W18,national,AT,Austria,9021,4889378,8901064,54930.26452,0.184501996,TESSy
Austria,AT,2021-W19,national,AT,Austria,5736,4060894,8901064,45622.56827,0.141249685,TESSy
Austria,AT,2021-W20,national,AT,Austria,4156,5607426,8901064,62997.25516,0.074116003,TESSy
Austria,AT,2021-W21,national,AT,Austria,3160,3668103,8901064,41209.71381,0.086148072,TESSy
Austria,AT,2021-W22,national,AT,Austria,2424,4859495,8901064,54594.54061,0.049881726,TESSy
Austria,AT,2021-W23,national,AT,Austria,1685,5649558,8901064,63470.59183,0.029825342,TESSy
Austria,AT,2021-W24,national,AT,Austria,1002,5665559,8901064,63650.35686,0.01768581,TESSy
Austria,AT,2021-W25,national,AT,Austria,679,5452121,8901064,61252.46375,0.012453869,TESSy
Austria,AT,2021-W26,national,AT,Austria,633,4807705,8901064,54012.70005,0.013166365,TESSy
Austria,AT,2021-W27,national,AT,Austria,1093,4072081,8901064,45748.24987,0.026841313,TESSy
Austria,AT,2021-W28,national,AT,Austria,2193,3403230,8901064,38233.96843,0.064438783,TESSy
Austria,AT,2021-W29,national,AT,Austria,2533,2807249,8901064,31538.35317,0.090230685,TESSy
Austria,AT,2021-W30,national,AT,Austria,3251,3220784,8901064,36184.25842,0.100938157,TESSy
Austria,AT,2021-W31,national,AT,Austria,3667,2714307,8901064,30494.18586,0.135098941,TESSy
Austria,AT,2021-W32,national,AT,Austria,5901,2584647,8901064,29037.50608,0.228309707,TESSy
Austria,AT,2021-W33,national,AT,Austria,8065,2771748,8901064,31139.51321,0.290971618,TESSy
Austria,AT,2021-W34,national,AT,Austria,9436,2703030,8901064,30367.49314,0.349089725,TESSy
Austria,AT,2021-W35,national,AT,Austria,11306,2840922,8901064,31916.65626,0.397969392,TESSy
Austria,AT,2021-W36,national,AT,Austria,14060,3308862,8901064,37173.78057,0.424919504,TESSy
Austria,AT,2021-W37,national,AT,Austria,13748,2975110,8901064,33424.20636,0.462100561,TESSy
Austria,AT,2021-W38,national,AT,Austria,11763,3163381,8901064,35539.35799,0.371848981,TESSy
Austria,AT,2021-W39,national,AT,Austria,12594,3015264,8901064,33875.32097,0.41767487,TESSy
Austria,AT,2021-W40,national,AT,Austria,12784,3662031,8901064,41141.49724,0.349095898,TESSy
Austria,AT,2021-W41,national,AT,Austria,15360,3594537,8901064,40383.22834,0.427315117,TESSy
Austria,AT,2021-W42,national,AT,Austria,23855,3690879,8901064,41465.59333,0.646323003,TESSy
Austria,AT,2021-W43,national,AT,Austria,34574,3074257,8901064,34538.08444,1.124629463,TESSy
Austria,AT,2021-W44,national,AT,Austria,56502,4763048,8901064,53510.99599,1.186257203,TESSy
Austria,AT,2021-W45,national,AT,Austria,78824,4309646,8901064,48417.20046,1.829013334,TESSy
Austria,AT,2021-W46,national,AT,Austria,97283,5909773,8901064,66394.00638,1.646137677,TESSy
Austria,AT,2021-W47,national,AT,Austria,82678,7827648,8901064,87940.58778,1.056230428,TESSy
Austria,AT,2021-W48,national,AT,Austria,50886,6021454,8901064,67648.69908,0.845078282,TESSy
Austria,AT,2021-W49,national,AT,Austria,29313,5066057,8901064,56915.18452,0.578615677,TESSy
Austria,AT,2021-W50,national,AT,Austria,18861,5990972,8901064,67306.24564,0.314823705,TESSy
Austria,AT,2021-W51,national,AT,Austria,14639,4770559,8901064,53595.37916,0.306861313,TESSy
Austria,AT,2021-W52,national,AT,Austria,23130,4844026,8901064,54420.7524,0.477495373,TESSy
Austria,AT,2022-W01,national,AT,Austria,62480,4168221,8901064,46828.34547,1.498960828,TESSy
Austria,AT,2022-W02,national,AT,Austria,111257,7970300,8901064,89543.22764,1.395894759,TESSy
Austria,AT,2022-W03,national,AT,Austria,176501,7790563,8901064,87523.95219,2.265574388,TESSy
Austria,AT,2022-W04,national,AT,Austria,227376,7923740,8901064,89020.14411,2.869554024,TESSy
Austria,AT,2022-W05,national,AT,Austria,231645,7927760,8901064,89065.30725,2.921947688,TESSy
Austria,AT,2022-W06,national,AT,Austria,216389,6113208,8901064,68679.51966,3.539696343,TESSy
Austria,AT,2022-W07,national,AT,Austria,196123,6216441,8901064,69839.30236,3.15490809,TESSy
Austria,AT,2022-W08,national,AT,Austria,185819,5714168,8901064,64196.46011,3.251899489,TESSy
Austria,AT,2022-W09,national,AT,Austria,217544,5794561,8901064,65099.64427,3.754279228,TESSy
Austria,AT,2020-W50,subnational,AT11,Burgenland,421,3723,293433,1268.773451,11.30808488,TESSy
Austria,AT,2020-W51,subnational,AT11,Burgenland,361,3487,293433,1188.346232,10.35273874,TESSy
Austria,AT,2020-W52,subnational,AT11,Burgenland,324,3334,293433,1136.204858,9.718056389,TESSy
Austria,AT,2020-W53,subnational,AT11,Burgenland,425,3900,293433,1329.093865,10.8974359,TESSy
Austria,AT,2021-W01,subnational,AT11,Burgenland,410,3383,293433,1152.903729,12.11942063,TESSy
Austria,AT,2021-W02,subnational,AT11,Burgenland,332,13416,293433,4572.082895,2.474657126,TESSy
Austria,AT,2021-W03,subnational,AT11,Burgenland,309,74843,293433,25505.99285,0.412864263,TESSy
Austria,AT,2021-W04,subnational,AT11,Burgenland,269,28355,293433,9663.193983,0.948686299,TESSy
Austria,AT,2021-W05,subnational,AT11,Burgenland,284,41235,293433,14052.61167,0.688735298,TESSy
Austria,AT,2021-W06,subnational,AT11,Burgenland,324,60129,293433,20491.56025,0.538841491,TESSy
Austria,AT,2021-W07,subnational,AT11,Burgenland,418,73605,293433,25084.09075,0.567896203,TESSy
Austria,AT,2021-W08,subnational,AT11,Burgenland,527,71927,293433,24512.23959,0.732687308,TESSy
Austria,AT,2021-W09,subnational,AT11,Burgenland,636,67147,293433,22883.24762,0.9471756,TESSy
Austria,AT,2021-W10,subnational,AT11,Burgenland,738,72432,293433,24684.34021,1.01888668,TESSy
Austria,AT,2021-W11,subnational,AT11,Burgenland,722,70879,293433,24155.08821,1.018637396,TESSy
Austria,AT,2021-W12,subnational,AT11,Burgenland,860,85688,293433,29201.89617,1.003641117,TESSy
Austria,AT,2021-W13,subnational,AT11,Burgenland,651,78730,293433,26830.6564,0.826876667,TESSy
Austria,AT,2021-W14,subnational,AT11,Burgenland,540,75529,293433,25739.77705,0.714957169,TESSy
Austria,AT,2021-W15,subnational,AT11,Burgenland,365,82808,293433,28220.41147,0.440778669,TESSy
Austria,AT,2021-W16,subnational,AT11,Burgenland,330,92054,293433,31371.38631,0.358485237,TESSy
Austria,AT,2021-W17,subnational,AT11,Burgenland,247,88162,293433,30045.01879,0.280166058,TESSy
Austria,AT,2021-W18,subnational,AT11,Burgenland,152,201287,293433,68597.2607,0.075514067,TESSy
Austria,AT,2021-W19,subnational,AT11,Burgenland,94,165872,293433,56528.06603,0.056670204,TESSy
Austria,AT,2021-W20,subnational,AT11,Burgenland,83,237326,293433,80879.11039,0.034972991,TESSy
Austria,AT,2021-W21,subnational,AT11,Burgenland,64,154256,293433,52569.41108,0.041489472,TESSy
Austria,AT,2021-W22,subnational,AT11,Burgenland,30,176926,293433,60295.19516,0.016956242,TESSy
Austria,AT,2021-W23,subnational,AT11,Burgenland,32,217977,293433,74285.10086,0.014680448,TESSy
Austria,AT,2021-W24,subnational,AT11,Burgenland,34,198513,293433,67651.90009,0.017127342,TESSy
Austria,AT,2021-W25,subnational,AT11,Burgenland,32,180286,293433,61440.26064,0.017749576,TESSy
Austria,AT,2021-W26,subnational,AT11,Burgenland,27,178673,293433,60890.56105,0.015111405,TESSy
Austria,AT,2021-W27,subnational,AT11,Burgenland,24,126039,293433,42953.24657,0.019041725,TESSy
Austria,AT,2021-W28,subnational,AT11,Burgenland,24,118628,293433,40427.62743,0.020231311,TESSy
Austria,AT,2021-W29,subnational,AT11,Burgenland,37,97179,293433,33117.95197,0.03807407,TESSy
Austria,AT,2021-W30,subnational,AT11,Burgenland,62,107866,293433,36760.00995,0.057478724,TESSy
Austria,AT,2021-W31,subnational,AT11,Burgenland,49,75771,293433,25822.24903,0.064668541,TESSy
Austria,AT,2021-W32,subnational,AT11,Burgenland,113,79709,293433,27164.29304,0.141765673,TESSy
Austria,AT,2021-W33,subnational,AT11,Burgenland,159,88316,293433,30097.50096,0.180035328,TESSy
Austria,AT,2021-W34,subnational,AT11,Burgenland,196,86897,293433,29613.91527,0.225554392,TESSy
Austria,AT,2021-W35,subnational,AT11,Burgenland,285,91966,293433,31341.3965,0.309897136,TESSy
Austria,AT,2021-W36,subnational,AT11,Burgenland,284,107385,293433,36596.08837,0.264468967,TESSy
Austria,AT,2021-W37,subnational,AT11,Burgenland,294,91388,293433,31144.41798,0.321705257,TESSy
Austria,AT,2021-W38,subnational,AT11,Burgenland,183,91724,293433,31258.92452,0.199511578,TESSy
Austria,AT,2021-W39,subnational,AT11,Burgenland,241,82903,293433,28252.78684,0.290701181,TESSy
Austria,AT,2021-W40,subnational,AT11,Burgenland,287,105638,293433,36000.72248,0.271682538,TESSy
Austria,AT,2021-W41,subnational,AT11,Burgenland,276,104700,293433,35681.05837,0.263610315,TESSy
Austria,AT,2021-W42,subnational,AT11,Burgenland,474,103384,293433,35232.57439,0.458484872,TESSy
Austria,AT,2021-W43,subnational,AT11,Burgenland,758,99510,293433,33912.34115,0.761732489,TESSy
Austria,AT,2021-W44,subnational,AT11,Burgenland,1537,145597,293433,49618.4819,1.055653619,TESSy
Austria,AT,2021-W45,subnational,AT11,Burgenland,1805,127338,293433,43395.93706,1.417487317,TESSy
Austria,AT,2021-W46,subnational,AT11,Burgenland,2228,184717,293433,62950.31574,1.206169438,TESSy
Austria,AT,2021-W47,subnational,AT11,Burgenland,1815,250287,293433,85296.13234,0.725167508,TESSy
Austria,AT,2021-W48,subnational,AT11,Burgenland,1176,175221,293433,59714.14258,0.67115243,TESSy
Austria,AT,2021-W49,subnational,AT11,Burgenland,572,157291,293433,53603.71874,0.36365717,TESSy
Austria,AT,2021-W50,subnational,AT11,Burgenland,390,179632,293433,61217.38182,0.217110537,TESSy
