ref_area.label,indicator.label,source.label,sex.label,classif1.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): Total,2008Q1,11102.854,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): 15-24,2008Q1,2128.719,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): 25-34,2008Q1,2420.988,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): 35-44,2008Q1,2536.332,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): 45-54,2008Q1,2408.168,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): 55-64,2008Q1,1356.501,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): 65+,2008Q1,252.147,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): Total,2008Q2,11188.874,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): 15-24,2008Q2,2092.464,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): 25-34,2008Q2,2443.224,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): 35-44,2008Q2,2556.598,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): 45-54,2008Q2,2432.452,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): 55-64,2008Q2,1404.106,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): 65+,2008Q2,260.03,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): Total,2008Q3,11226.999,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): 15-24,2008Q3,2064.762,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): 25-34,2008Q3,2455.319,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): 35-44,2008Q3,2569.263,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): 45-54,2008Q3,2440.359,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): 55-64,2008Q3,1425.684,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): 65+,2008Q3,271.612,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): Total,2008Q4,11303.811,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): 15-24,2008Q4,2093.883,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): 25-34,2008Q4,2491.468,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): 35-44,2008Q4,2575.211,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): 45-54,2008Q4,2445.546,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): 55-64,2008Q4,1430.897,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): 65+,2008Q4,266.805,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): Total,2009Q1,11403.289,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): 15-24,2009Q1,2136.92,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): 25-34,2009Q1,2491.225,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): 35-44,2009Q1,2574.756,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): 45-54,2009Q1,2459.385,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): 55-64,2009Q1,1464.252,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): 65+,2009Q1,276.751,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): Total,2009Q2,11436.576,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): 15-24,2009Q2,2076.72,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): 25-34,2009Q2,2500.012,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): 35-44,2009Q2,2591.536,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): 45-54,2009Q2,2485.629,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): 55-64,2009Q2,1490.875,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): 65+,2009Q2,291.805,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): Total,2009Q3,11423.532,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): 15-24,2009Q3,2043.63,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): 25-34,2009Q3,2499.521,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): 35-44,2009Q3,2591.881,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): 45-54,2009Q3,2485.818,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): 55-64,2009Q3,1496.083,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): 65+,2009Q3,306.599,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): Total,2009Q4,11503.873,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): 15-24,2009Q4,2102.296,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): 25-34,2009Q4,2504.173,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): 35-44,2009Q4,2578.199,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): 45-54,2009Q4,2489.678,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): 55-64,2009Q4,1522.825,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): 65+,2009Q4,306.702,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): Total,2010Q1,11546.397,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): 15-24,2010Q1,2135.931,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): 25-34,2010Q1,2524.088,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): 35-44,2010Q1,2560.706,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): 45-54,2010Q1,2489.21,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): 55-64,2010Q1,1535.163,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): 65+,2010Q1,301.3,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): Total,2010Q2,11578.147,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): 15-24,2010Q2,2070.331,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): 25-34,2010Q2,2540.021,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): 35-44,2010Q2,2581.817,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): 45-54,2010Q2,2507.289,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): 55-64,2010Q2,1556.973,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): 65+,2010Q2,321.716,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): Total,2010Q3,11629.018,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): 15-24,2010Q3,2036.913,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): 25-34,2010Q3,2560.676,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): 35-44,2010Q3,2597.802,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): 45-54,2010Q3,2525.163,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): 55-64,2010Q3,1582.382,,,Frequency: Monthly,
Australia,Labour force by sex and age (thousands),LFS - Labour Force Survey,Sex: Total,Age (10-year bands): 65+,2010Q3,326.082,,,Frequency: Monthly,
