"COUNTRY","Country","ISC11A","ISCED 2011 A education level","SEX","Gender","AGE","Age","FIELD","Field","MEASURE","Measure","INDICATOR","INDICATOR","YEAR","Reference year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"DEU","Germany","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","2014","2014",,,"0","Units",,,0.05581779,,
"DEU","Germany","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","2015","2015",,,"0","Units",,,0.05570127,,
"DEU","Germany","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","2016","2016",,,"0","Units",,,0.05411721,,
"DEU","Germany","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","2017","2017",,,"0","Units",,,0.0533134,,
"DEU","Germany","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","2018","2018",,,"0","Units",,,0.05337743,,
"DEU","Germany","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","2019","2019",,,"0","Units",,,0.05326414,,
"DEU","Germany","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","2020","2020",,,"0","Units",,,0.0593816,,
"BEL","Belgium","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","2014","2014",,,"0","Units",,,0.18550412,,
"BEL","Belgium","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","2015","2015",,,"0","Units",,,0.1880191,,
"BEL","Belgium","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","2016","2016",,,"0","Units",,,0.1857385,,
"BEL","Belgium","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","2017","2017",,,"0","Units",,,0.14768253,,
"BEL","Belgium","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","2018","2018",,,"0","Units",,,0.14572097,,
"BEL","Belgium","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","2019","2019",,,"0","Units",,,0.14259811,,
"BEL","Belgium","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","2020","2020",,,"0","Units",,,0.14249907,,
"ITA","Italy","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","2012","2012",,,"0","Units",,,0.08839571,,
"ITA","Italy","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","2013","2013",,,"0","Units",,,0.08799555,,
"ITA","Italy","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","2014","2014",,,"0","Units",,,0.08862147,,
"ITA","Italy","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","2015","2015",,,"0","Units",,,0.08927023,,
"ITA","Italy","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","2016","2016",,,"0","Units",,,0.09040712,,
"ITA","Italy","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","2017","2017",,,"0","Units",,,0.09041721,,
"ITA","Italy","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","2018","2018",,,"0","Units",,,0.0904209,,
"ITA","Italy","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","2019","2019",,,"0","Units",,,0.09104358,,
"ITA","Italy","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","2020","2020",,,"0","Units",,,0.09378821,,
"IRL","Ireland","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","2015","2015",,,"0","Units",,,0.15948775,,
"IRL","Ireland","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","2016","2016",,,"0","Units",,,0.34689468,,
"IRL","Ireland","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","2017","2017",,,"0","Units",,,0.18253331,,
"IRL","Ireland","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","2018","2018",,,"0","Units",,,0.1907241,,
