ref_area.label,indicator.label,source.label,sex.label,classif1.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Austria,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Total,Age (Aggregate bands): Total,2008Q1,4.5,,,Frequency: Quarterly,Age coverage - maximum age: 74 years old
Austria,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Total,Age (Aggregate bands): Total,2008Q2,3.7,,,Frequency: Quarterly,Age coverage - maximum age: 74 years old
Austria,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Total,Age (Aggregate bands): Total,2008Q3,4,,,Frequency: Quarterly,Age coverage - maximum age: 74 years old
Austria,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Total,Age (Aggregate bands): Total,2008Q4,4.3,,,Frequency: Quarterly,Age coverage - maximum age: 74 years old
Austria,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Total,Age (Aggregate bands): Total,2009Q1,5,,,Frequency: Quarterly,Age coverage - maximum age: 74 years old
Austria,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Total,Age (Aggregate bands): Total,2009Q2,5.3,,,Frequency: Quarterly,Age coverage - maximum age: 74 years old
Austria,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Total,Age (Aggregate bands): Total,2009Q3,5.7,,,Frequency: Quarterly,Age coverage - maximum age: 74 years old
Austria,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Total,Age (Aggregate bands): Total,2009Q4,5.3,,,Frequency: Quarterly,Age coverage - maximum age: 74 years old
Austria,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Total,Age (Aggregate bands): Total,2010Q1,5.2,,,Frequency: Quarterly,Age coverage - maximum age: 74 years old
Austria,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Total,Age (Aggregate bands): Total,2010Q2,4.9,,,Frequency: Quarterly,Age coverage - maximum age: 74 years old
