Country,2021-Q4,2021-Q3,2021-Q2,2021-Q1,2020-Q4,2020-Q3,2020-Q2,2020-Q1,2019-Q4,2019-Q3,2019-Q2,2019-Q1,2018-Q4,2018-Q3,2018-Q2,2018-Q1,2017-Q4,2017-Q3,2017-Q2,2017-Q1,2016-Q4,2016-Q3,2016-Q2,2016-Q1,2015-Q4,2015-Q3,2015-Q2,2015-Q1,2014-Q4,2014-Q3,2014-Q2,2014-Q1,2013-Q4,2013-Q3,2013-Q2,2013-Q1,2012-Q4,2012-Q3,2012-Q2,2012-Q1,2011-Q4,2011-Q3,2011-Q2,2011-Q1,2010-Q4,2010-Q3,2010-Q2,2010-Q1,2009-Q4,2009-Q3,2009-Q2,2009-Q1,2008-Q4,2008-Q3,2008-Q2,2008-Q1,2007-Q4,2007-Q3,2007-Q2,2007-Q1,2006-Q4,2006-Q3,2006-Q2,2006-Q1,2005-Q4,2005-Q3,2005-Q2,2005-Q1,2004-Q4,2004-Q3,2004-Q2,2004-Q1,2003-Q4,2003-Q3,2003-Q2,2003-Q1,2002-Q4,2002-Q3,2002-Q2,2002-Q1,2001-Q4,2001-Q3,2001-Q2,2001-Q1,2000-Q4,2000-Q3,2000-Q2,2000-Q1
Slovakia,,,,,,21808551000,19534417000,21302738000,22442344000,22311391000,22227192000,22149281000,22012855000,21913909000,21710933000,21474110000,21301433000,21061699000,20891239000,20693741000,20521213000,20391470000,20306656000,20249450000,20222434000,20073880000,19851165000,19620085000,19289317000,19095828000,18926892000,18791231000,18672842000,18566116000,18481787000,18423924000,18428557000,18444388000,18414951000,18365846000,18277691000,18116450000,18013224000,17875360000,17800893000,17681829000,17494578000,17304353000,17025134000,16718053000,16448845000,16192043000,17883541000,17677027000,17433962000,17220128000,17710735000,16653809000,16268059000,15874367000,15545165000,15122551000,14838444000,14500835000,14163937000,13958762000,13733752000,13453013000,13288454000,13087128000,12792548000,12705503000,12542302000,12336782000,12287216000,12106292000,11895069000,11813759000,11555637000,11439821000,11404423000,11164895000,11118262000,11001478000,10924084000,10863164000,10798985000,10694561000
Austria,92418626979,93778759097,90705561527,87157569579,87500303518,89174051912,80477783841,90860872137,93189099026,93437519597,93220263606,93701979946,92906224042,91940413161,91825475054,91495241025,90686844448,90030486270,89558379454,89065647361,88628476756,87727672241,87234124502,87369672739,86446435723,86350592304,85837299825,85683683650,85455136347,85323705689,85403181570,84827737190,85031454840,84706780152,84291150668,84218124470,84408874456,84441426855,84592885649,84928675043,84251228032,84292019584,83717171417,83552080156,82794765604,81837502585,81141650118,80052953919,80385415957,80019026761,79660634416,80296097019,81694849567,83561675044,84104106675,83418206995,82875098356,82162270802,81893175340,80942154692,80203184674,79368339652,78458002730,78176015662,77323176894,76640901956,76068294522,75224334768,75252574331,74999601801,74277797279,73654312380,72950185014,72844850459,72612947070,72515111900,71984205968,72315576424,72066366096,71701286181,71095383572,70691482151,70655590231,70829653726,71071460816,69964665612,69655004091,69225819432
Belgium,1.13693E+11,1.13112E+11,1.10851E+11,1.08967E+11,1.07629E+11,1.07778E+11,96331000000,1.0902E+11,1.12552E+11,1.11821E+11,1.1106E+11,1.10567E+11,1.10282E+11,1.09222E+11,1.08803E+11,1.08307E+11,1.07877E+11,1.07019E+11,1.07088E+11,1.0683E+11,1.06138E+11,1.05596E+11,1.05411E+11,1.04835E+11,1.04775E+11,1.0434E+11,1.04141E+11,1.03446E+11,1.02911E+11,1.02376E+11,1.01674E+11,1.01405E+11,1.00971E+11,1.00751E+11,1.0044E+11,99857000000,1.00132E+11,1.00178E+11,99935000000,99936000000,99722000000,99432000000,99148000000,98943000000,98469000000,97974000000,97567000000,96615000000,96117000000,95352000000,94162000000,94117000000,95042000000,97149000000,97720000000,97658000000,97238000000,96845000000,96103000000,95666000000,94329000000,93270000000,92456000000,92129000000,91566000000,90869000000,90511000000,89972000000,89501000000,89183000000,88412000000,87570000000,86277000000,85681000000,85332000000,85150000000,85375000000,85057000000,84604000000,83886000000,83171000000,83254000000,83413000000,83398000000,83351000000,82544000000,82163000000,81576000000
Cyprus,5722387148,5680196556,5583789550,5495299544,5402400069,5372535945,4926879028,5605235599,5644720381,5633095420,5578979221,5568055767,5436974308,5322027493,5272521193,5268211940,5138533493,5039921754,4997029655,4976886404,4883385638,4762025052,4707307562,4685360437,4577228255,4485832008,4429110215,4391529521,4325387501,4309753932,4314564261,4348938069,4367177232,4381207358,4381808649,4490642337,4595567633,4684157855,4742382876,4834580844,4848410539,4833879338,4931088065,4916456649,4901023510,4881982626,4833879338,4834781275,4781166152,4750199660,4756713647,4779462494,4847007527,4879276816,4878374879,4855225172,4790085303,4707708423,4651387490,4625732403,4544457890,4480420389,4449954973,4389525218,4341421930,4294821870,4222566723,4201421320,4142695223,4094191074,4028650345,4004899347,3947977123,3897368456,3817296525,3829322347,3843152042,3754762251,3779114540,3718785000,3682507104,3693129913,3623781007,3554632531,3506328813,3469148980,3574174491,3451010032
Germany,8.03451E+11,8.0625E+11,7.9301E+11,7.7614E+11,7.89435E+11,7.8361E+11,7.18624E+11,7.98438E+11,8.12775E+11,8.1338E+11,8.10052E+11,8.14061E+11,8.05569E+11,8.02467E+11,8.05872E+11,8.01408E+11,8.04888E+11,7.98458E+11,7.91497E+11,7.85369E+11,7.75913E+11,7.73492E+11,7.70844E+11,7.67666E+11,7.61443E+11,7.5819E+11,7.54408E+11,7.49112E+11,7.53084E+11,7.47031E+11,7.43022E+11,7.43022E+11,7.36137E+11,7.33943E+11,7.29707E+11,7.2199E+11,7.25375E+11,7.28628E+11,7.2651E+11,7.25148E+11,7.23616E+11,7.25886E+11,7.19455E+11,7.1885E+11,7.05232E+11,6.99558E+11,6.93733E+11,6.78527E+11,6.73098E+11,6.68181E+11,6.64474E+11,6.63414E+11,6.96003E+11,7.07275E+11,7.1189E+11,7.13554E+11,7.09091E+11,7.044E+11,7.0092E+11,6.95095E+11,6.94565E+11,6.842E+11,6.7898E+11,6.67481E+11,6.61088E+11,6.57986E+11,6.52388E+11,6.48983E+11,6.48964E+11,6.49645E+11,6.50856E+11,6.47603E+11,6.48718E+11,6.46978E+11,6.42061E+11,6.41304E+11,6.51007E+11,6.51915E+11,6.48737E+11,6.45862E+11,6.49267E+11,6.50023E+11,6.51083E+11,6.51461E+11,6.38619E+11,6.40586E+11,6.40737E+11,6.35517E+11
Estonia,6569154400,6455123800,6389617200,6238700500,6037598500,5907816200,5701474000,6053236900,6127212100,6104920900,6062682800,6036958300,5939703000,5859052300,5819195300,5774436200,5713772000,5632363100,5612219000,5507648400,5401113800,5337162400,5278313700,5288157500,5203669700,5213327700,5174786200,5074692700,5146580800,5070640100,5003571300,4983234500,4902750400,4905198700,4917427400,4930075500,4906560600,4863365100,4839172700,4780555000,4752337700,4753901900,4675793000,4588196200,4497020500,4404476900,4340851600,4286518700,4228246900,4208516200,4292964800,4442887300,4563921000,5174402500,5171935700,5119923400,5236175000,5267799600,5257229000,5236789400,5068726600,4946017700,4835278900,4736068600,4629712100,4525214200,4419377000,4251039000,4177668300,4092603400,4002102000,4029487800,3938158800,3837945500,3800561600,3714542000,3631248300,3604859900,3534021500,3414611200,3390976200,3341946500,3274327700,3270264000,3223751700,3152815800,3114389200,3038302500
Spain,2.88045E+11,2.82365E+11,2.75129E+11,2.71886E+11,2.73719E+11,2.73111E+11,2.33831E+11,2.83955E+11,3.00136E+11,2.9901E+11,2.97881E+11,2.96796E+11,2.95022E+11,2.93044E+11,2.91535E+11,2.89836E+11,2.88745E+11,2.8695E+11,2.85303E+11,2.82272E+11,2.80049E+11,2.78754E+11,2.76303E+11,2.75149E+11,2.73297E+11,2.70674E+11,2.68233E+11,2.65386E+11,2.62375E+11,2.60142E+11,2.58231E+11,2.5704E+11,2.56099E+11,2.55673E+11,2.55813E+11,2.56037E+11,2.56858E+11,2.58832E+11,2.60158E+11,2.62683E+11,2.65168E+11,2.66899E+11,2.6864E+11,2.69494E+11,2.69915E+11,2.69734E+11,2.69872E+11,2.69468E+11,2.69544E+11,2.69599E+11,2.69031E+11,2.6906E+11,2.76258E+11,2.8079E+11,2.81308E+11,2.81001E+11,2.80396E+11,2.78605E+11,2.76485E+11,2.74029E+11,2.71545E+11,2.68959E+11,2.66483E+11,2.63925E+11,2.60937E+11,2.58318E+11,2.55844E+11,2.53607E+11,2.51155E+11,2.49448E+11,2.47124E+11,2.44733E+11,2.43266E+11,2.41181E+11,2.39601E+11,2.38359E+11,2.36161E+11,2.34378E+11,2.32942E+11,2.31059E+11,2.3008E+11,2.28499E+11,2.26389E+11,2.24728E+11,2.22367E+11,2.20099E+11,2.17749E+11,2.15056E+11
Finland,58883000000,58471000000,57895000000,56864000000,56935000000,56413000000,53721000000,57249000000,57404000000,57546000000,57584000000,57061000000,56644000000,56654000000,56763000000,56767000000,56621000000,56257000000,56048000000,55343000000,54784000000,54616000000,54006000000,53922000000,53265000000,52968000000,52973000000,52179000000,52588000000,52714000000,52511000000,52426000000,52834000000,52929000000,52745000000,52503000000,52957000000,52998000000,53203000000,53772000000,54008000000,53993000000,53927000000,54021000000,53721000000,52616000000,52833000000,51413000000,50903000000,51299000000,50829000000,51052000000,54588000000,55785000000,55593000000,56043000000,56112000000,55381000000,54877000000,53908000000,52886000000,52474000000,51980000000,51853000000,50591000000,50446000000,49726000000,50328000000,49835000000,49096000000,48569000000,48155000000,47548000000,47461000000,46900000000,46235000000,46564000000,46040000000,46148000000,45696000000,45399000000,45527000000,45241000000,45187000000,44967000000,44494000000,43808000000,43473000000
France,5.94638E+11,5.90464E+11,5.7252E+11,5.65085E+11,5.64126E+11,5.70325E+11,4.80956E+11,5.5579E+11,5.8932E+11,5.91502E+11,5.90977E+11,5.87859E+11,5.84105E+11,5.79854E+11,5.77551E+11,5.75539E+11,5.75355E+11,5.70526E+11,5.66946E+11,5.62347E+11,5.57796E+11,5.54778E+11,5.53752E+11,5.54628E+11,5.51147E+11,5.50317E+11,5.48506E+11,5.4843E+11,5.45814E+11,5.45329E+11,5.42622E+11,5.41956E+11,5.4153E+11,5.38948E+11,5.38882E+11,5.35349E+11,5.35399E+11,5.35792E+11,5.34768E+11,5.35584E+11,5.35128E+11,5.34177E+11,5.32234E+11,5.32048E+11,5.26851E+11,5.2314E+11,5.19775E+11,5.17123E+11,5.15289E+11,5.11699E+11,5.10877E+11,5.11369E+11,5.1993E+11,5.27609E+11,5.29073E+11,5.31317E+11,5.29242E+11,5.27986E+11,5.26123E+11,5.22166E+11,5.18292E+11,5.14228E+11,5.14145E+11,5.09042E+11,5.05198E+11,5.01266E+11,4.98794E+11,4.97845E+11,4.96509E+11,4.92809E+11,4.91519E+11,4.88367E+11,4.83852E+11,4.80381E+11,4.77165E+11,4.78195E+11,4.7725E+11,4.77481E+11,4.75499E+11,4.73317E+11,4.71555E+11,4.71433E+11,4.70162E+11,4.69293E+11,4.66735E+11,4.62973E+11,4.60097E+11,4.55598E+11
Greece,45849500091,45656037889,44767644497,44321057059,42587465942,40973892676,38888670505,44930594574,45836139459,45968210748,46011723740,45531535651,45222852051,44927398104,45048189640,44984667379,44355609325,44759174573,44290556144,44054311829,44145200161,43868710951,43739333743,43850526333,44270266895,43488864750,44325884045,44353216855,44102721287,44571762419,44100007670,44214138589,44227061160,43946265398,43943103449,43873553665,44310382829,44672574975,45329772405,46127844883,46268671969,48439681350,49440847334,50340439480,52365485429,52770904618,54576005463,56677827221,57503506955,57429872073,57849533933,56286545550,59092109260,59929331110,59987809111,60374043896,60007042262,60306086135,60684217662,58967255223,59433981760,57960091171,57684682023,57508103098,55693486304,55415844325,54655669679,54525998557,54848557705,55058516358,54333458422,54343562079,53367699256,52251001538,51925264697,51021583851,49981003067,49598587804,49314023742,48234390114,47843486027,47717084120,46955643749,47079733624,46504069926,45853443676,45012427136,44601206652
