DATAFLOW,LAST UPDATE,freq,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_PJANGROUP(1.0),28/02/22 11:00:00,A,NR,T,TOTAL,AD,2005,76875.0,
ESTAT:DEMO_PJANGROUP(1.0),28/02/22 11:00:00,A,NR,T,TOTAL,AD,2006,78549.0,
ESTAT:DEMO_PJANGROUP(1.0),28/02/22 11:00:00,A,NR,T,TOTAL,AD,2007,81222.0,
ESTAT:DEMO_PJANGROUP(1.0),28/02/22 11:00:00,A,NR,T,TOTAL,AD,2008,83137.0,
ESTAT:DEMO_PJANGROUP(1.0),28/02/22 11:00:00,A,NR,T,TOTAL,AD,2009,84484.0,
ESTAT:DEMO_PJANGROUP(1.0),28/02/22 11:00:00,A,NR,T,TOTAL,AD,2010,84082.0,
ESTAT:DEMO_PJANGROUP(1.0),28/02/22 11:00:00,A,NR,T,TOTAL,AD,2011,78115,
ESTAT:DEMO_PJANGROUP(1.0),28/02/22 11:00:00,A,NR,T,TOTAL,AD,2012,78115,
ESTAT:DEMO_PJANGROUP(1.0),28/02/22 11:00:00,A,NR,T,TOTAL,AD,2013,76246,
ESTAT:DEMO_PJANGROUP(1.0),28/02/22 11:00:00,A,NR,T,TOTAL,AD,2019,76177,
ESTAT:DEMO_PJANGROUP(1.0),28/02/22 11:00:00,A,NR,T,TOTAL,AL,2005,3019634.0,
ESTAT:DEMO_PJANGROUP(1.0),28/02/22 11:00:00,A,NR,T,TOTAL,AL,2006,3003329.0,
ESTAT:DEMO_PJANGROUP(1.0),28/02/22 11:00:00,A,NR,T,TOTAL,AL,2007,2981755.0,
ESTAT:DEMO_PJANGROUP(1.0),28/02/22 11:00:00,A,NR,T,TOTAL,AL,2008,2958266.0,
ESTAT:DEMO_PJANGROUP(1.0),28/02/22 11:00:00,A,NR,T,TOTAL,AL,2009,2936355.0,
ESTAT:DEMO_PJANGROUP(1.0),28/02/22 11:00:00,A,NR,T,TOTAL,AL,2010,2918674.0,
ESTAT:DEMO_PJANGROUP(1.0),28/02/22 11:00:00,A,NR,T,TOTAL,AL,2011,2907361,
ESTAT:DEMO_PJANGROUP(1.0),28/02/22 11:00:00,A,NR,T,TOTAL,AL,2012,2903008,
ESTAT:DEMO_PJANGROUP(1.0),28/02/22 11:00:00,A,NR,T,TOTAL,AL,2013,2897770,
ESTAT:DEMO_PJANGROUP(1.0),28/02/22 11:00:00,A,NR,T,TOTAL,AL,2014,2892394,
ESTAT:DEMO_PJANGROUP(1.0),28/02/22 11:00:00,A,NR,T,TOTAL,AL,2015,2885796,
ESTAT:DEMO_PJANGROUP(1.0),28/02/22 11:00:00,A,NR,T,TOTAL,AL,2016,2875592,
ESTAT:DEMO_PJANGROUP(1.0),28/02/22 11:00:00,A,NR,T,TOTAL,AL,2017,2876591,
ESTAT:DEMO_PJANGROUP(1.0),28/02/22 11:00:00,A,NR,T,TOTAL,AL,2018,2870324,
ESTAT:DEMO_PJANGROUP(1.0),28/02/22 11:00:00,A,NR,T,TOTAL,AL,2019,2862427,
