"unit,na_item,geo\time",Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"PC_EU27_2020_MPPS_CP,NLPR_HW,AT",Austria,117.5,117.8,116.8,116.3,117.5,115.6,115.1,118,117.9,118.1,119.7,119.5,117.5,117.8,115.9,117.4
"PC_EU27_2020_MPPS_CP,NLPR_HW,BE",Belgium,142.8,139.9,138,136.2,136.8,138,134,135.2,134.7,136.1,136.8,136.5,134,133.5,133.5,137.9
"PC_EU27_2020_MPPS_CP,NLPR_HW,BG",Bulgaria,37.6,37.5,38.8,39.5,40.1,41.9,42.9,44.1,42.9,44.1,44.5,45.8,45.9,47.2,48.6,48.8
"PC_EU27_2020_MPPS_CP,NLPR_HW,CH",Switzerland ,122.8,126.6,131.8,133.1,131.2 e,133.6,133.2,134.3,135,136.1,135.3,132.8,130.8,131.4,129.2,129.4
"PC_EU27_2020_MPPS_CP,NLPR_HW,CY",Republic of Cyprus,83.9,85.2,85.9,86.3,86,83.1,80.9,79.2,77.9,76.1,76.5,78.1,77.6,77,76.6,74.5
"PC_EU27_2020_MPPS_CP,NLPR_HW,CZ",Czech Republic,70.4,71,74,74.1,74.7,72.1,71.8,71.4,72.2,73.9,75.3,74.5,75.8,76.5,77.9,77.7
"PC_EU27_2020_MPPS_CP,NLPR_HW,DE",Germany,128.9,126.5,126,124.7,122.9,122.3,123.7,123.1,122.6,124.5,123,124.7,124.9,124.8,122.2,121.9
"PC_EU27_2020_MPPS_CP,NLPR_HW,DK",Denmark,126.9,126.7,126.2,127.8,129,135.2,132.6,132.9,132.9,134.1,133.8,133.7,136.2,137.8,136.9,139.4
"PC_EU27_2020_MPPS_CP,NLPR_HW,EA",,116.9,116.5,115.6,114.8,113.8,112.9,112.1,112,112.2,111.8,111,111,110.6,109.8,109.2,109.9
"PC_EU27_2020_MPPS_CP,NLPR_HW,EA19",,114,113.7,113.2,112.7,112.5,111.7,111.2,111.1,111.3,111.4,111,111,110.6,109.8,109.2,109.9
"PC_EU27_2020_MPPS_CP,NLPR_HW,EE",Estonia ,50.7,52.4,57.2,57.3,60.6,63,62.5,64.2,64.5,66.1,63.6,64.8,65.5,69.9,71.1,72.5
"PC_EU27_2020_MPPS_CP,NLPR_HW,EL",Greece,78.4,80.9,79.1,79.4,78.6,72.8 b,66,63.3,62.8,62,62.7,59,58.9,55.9,56.7,56.2
"PC_EU27_2020_MPPS_CP,NLPR_HW,ES","Spain, including the Balearic Islands",98.3,100.4,100.8,100.1,102.3,99.7,98.3,100.1,100.4,100.3,98.9,98.4,98.2,95.8,94.8,92.7
"PC_EU27_2020_MPPS_CP,NLPR_HW,EU27_2020",,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"PC_EU27_2020_MPPS_CP,NLPR_HW,EU28",,101.7,101.6,101.3,101.3,100.9,101,100.6,100.5,100.3,100.2,100.3,99.9,99.8,99.6,99.6,
"PC_EU27_2020_MPPS_CP,NLPR_HW,FI",Finland,115.5,114.6,118.4,118.8,115.9,114.9,114.6,111.6,110.2,109.8,109.7,110.6,111.8,110.3,108,108
"PC_EU27_2020_MPPS_CP,NLPR_HW,FR","France, including Monaco",132.3,132.5,130.2,128.2,128,126.9,125.6,123.5,125.6,125.5,124.8,124.5,124.2,124,126.1,126.5
"PC_EU27_2020_MPPS_CP,NLPR_HW,HR",Croatia,59.3,61.2,62.8,63.4,60.7,59.4,62.1,64.1,65.5,63.5,65.6,66.8,67,67,65.8,60.2
