DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TESEM160(1.0),16/03/22 11:00:00,A,PC_EU27_2020_MPPS_CP,NLPR_HW,AT,2005,117.5,
ESTAT:TESEM160(1.0),16/03/22 11:00:00,A,PC_EU27_2020_MPPS_CP,NLPR_HW,AT,2006,117.8,
ESTAT:TESEM160(1.0),16/03/22 11:00:00,A,PC_EU27_2020_MPPS_CP,NLPR_HW,AT,2007,116.8,
ESTAT:TESEM160(1.0),16/03/22 11:00:00,A,PC_EU27_2020_MPPS_CP,NLPR_HW,AT,2008,116.3,
ESTAT:TESEM160(1.0),16/03/22 11:00:00,A,PC_EU27_2020_MPPS_CP,NLPR_HW,AT,2009,117.5,
ESTAT:TESEM160(1.0),16/03/22 11:00:00,A,PC_EU27_2020_MPPS_CP,NLPR_HW,AT,2010,115.6,
ESTAT:TESEM160(1.0),16/03/22 11:00:00,A,PC_EU27_2020_MPPS_CP,NLPR_HW,AT,2011,115.1,
ESTAT:TESEM160(1.0),16/03/22 11:00:00,A,PC_EU27_2020_MPPS_CP,NLPR_HW,AT,2012,118.0,
ESTAT:TESEM160(1.0),16/03/22 11:00:00,A,PC_EU27_2020_MPPS_CP,NLPR_HW,AT,2013,117.9,
ESTAT:TESEM160(1.0),16/03/22 11:00:00,A,PC_EU27_2020_MPPS_CP,NLPR_HW,AT,2014,118.1,
ESTAT:TESEM160(1.0),16/03/22 11:00:00,A,PC_EU27_2020_MPPS_CP,NLPR_HW,AT,2015,119.7,
ESTAT:TESEM160(1.0),16/03/22 11:00:00,A,PC_EU27_2020_MPPS_CP,NLPR_HW,AT,2016,119.5,
ESTAT:TESEM160(1.0),16/03/22 11:00:00,A,PC_EU27_2020_MPPS_CP,NLPR_HW,AT,2017,117.5,
ESTAT:TESEM160(1.0),16/03/22 11:00:00,A,PC_EU27_2020_MPPS_CP,NLPR_HW,AT,2018,117.8,
ESTAT:TESEM160(1.0),16/03/22 11:00:00,A,PC_EU27_2020_MPPS_CP,NLPR_HW,AT,2019,115.9,
ESTAT:TESEM160(1.0),16/03/22 11:00:00,A,PC_EU27_2020_MPPS_CP,NLPR_HW,AT,2020,117.4,
ESTAT:TESEM160(1.0),16/03/22 11:00:00,A,PC_EU27_2020_MPPS_CP,NLPR_HW,BE,2005,142.8,
ESTAT:TESEM160(1.0),16/03/22 11:00:00,A,PC_EU27_2020_MPPS_CP,NLPR_HW,BE,2006,139.9,
ESTAT:TESEM160(1.0),16/03/22 11:00:00,A,PC_EU27_2020_MPPS_CP,NLPR_HW,BE,2007,138.0,
ESTAT:TESEM160(1.0),16/03/22 11:00:00,A,PC_EU27_2020_MPPS_CP,NLPR_HW,BE,2008,136.2,
ESTAT:TESEM160(1.0),16/03/22 11:00:00,A,PC_EU27_2020_MPPS_CP,NLPR_HW,BE,2009,136.8,
ESTAT:TESEM160(1.0),16/03/22 11:00:00,A,PC_EU27_2020_MPPS_CP,NLPR_HW,BE,2010,138.0,
ESTAT:TESEM160(1.0),16/03/22 11:00:00,A,PC_EU27_2020_MPPS_CP,NLPR_HW,BE,2011,134.0,
ESTAT:TESEM160(1.0),16/03/22 11:00:00,A,PC_EU27_2020_MPPS_CP,NLPR_HW,BE,2012,135.2,
ESTAT:TESEM160(1.0),16/03/22 11:00:00,A,PC_EU27_2020_MPPS_CP,NLPR_HW,BE,2013,134.7,
ESTAT:TESEM160(1.0),16/03/22 11:00:00,A,PC_EU27_2020_MPPS_CP,NLPR_HW,BE,2014,136.1,
ESTAT:TESEM160(1.0),16/03/22 11:00:00,A,PC_EU27_2020_MPPS_CP,NLPR_HW,BE,2015,136.8,
ESTAT:TESEM160(1.0),16/03/22 11:00:00,A,PC_EU27_2020_MPPS_CP,NLPR_HW,BE,2016,136.5,
ESTAT:TESEM160(1.0),16/03/22 11:00:00,A,PC_EU27_2020_MPPS_CP,NLPR_HW,BE,2017,134.0,
ESTAT:TESEM160(1.0),16/03/22 11:00:00,A,PC_EU27_2020_MPPS_CP,NLPR_HW,BE,2018,133.5,
ESTAT:TESEM160(1.0),16/03/22 11:00:00,A,PC_EU27_2020_MPPS_CP,NLPR_HW,BE,2019,133.5,
ESTAT:TESEM160(1.0),16/03/22 11:00:00,A,PC_EU27_2020_MPPS_CP,NLPR_HW,BE,2020,137.8,p
ESTAT:TESEM160(1.0),16/03/22 11:00:00,A,PC_EU27_2020_MPPS_CP,NLPR_HW,BG,2005,37.6,
ESTAT:TESEM160(1.0),16/03/22 11:00:00,A,PC_EU27_2020_MPPS_CP,NLPR_HW,BG,2006,37.5,
ESTAT:TESEM160(1.0),16/03/22 11:00:00,A,PC_EU27_2020_MPPS_CP,NLPR_HW,BG,2007,38.8,
ESTAT:TESEM160(1.0),16/03/22 11:00:00,A,PC_EU27_2020_MPPS_CP,NLPR_HW,BG,2008,39.5,
ESTAT:TESEM160(1.0),16/03/22 11:00:00,A,PC_EU27_2020_MPPS_CP,NLPR_HW,BG,2009,40.1,
ESTAT:TESEM160(1.0),16/03/22 11:00:00,A,PC_EU27_2020_MPPS_CP,NLPR_HW,BG,2010,41.9,
ESTAT:TESEM160(1.0),16/03/22 11:00:00,A,PC_EU27_2020_MPPS_CP,NLPR_HW,BG,2011,42.9,
ESTAT:TESEM160(1.0),16/03/22 11:00:00,A,PC_EU27_2020_MPPS_CP,NLPR_HW,BG,2012,44.1,
ESTAT:TESEM160(1.0),16/03/22 11:00:00,A,PC_EU27_2020_MPPS_CP,NLPR_HW,BG,2013,42.9,
ESTAT:TESEM160(1.0),16/03/22 11:00:00,A,PC_EU27_2020_MPPS_CP,NLPR_HW,BG,2014,44.1,
ESTAT:TESEM160(1.0),16/03/22 11:00:00,A,PC_EU27_2020_MPPS_CP,NLPR_HW,BG,2015,44.5,
ESTAT:TESEM160(1.0),16/03/22 11:00:00,A,PC_EU27_2020_MPPS_CP,NLPR_HW,BG,2016,45.8,
ESTAT:TESEM160(1.0),16/03/22 11:00:00,A,PC_EU27_2020_MPPS_CP,NLPR_HW,BG,2017,45.9,
ESTAT:TESEM160(1.0),16/03/22 11:00:00,A,PC_EU27_2020_MPPS_CP,NLPR_HW,BG,2018,47.2,
