"indic,s_adj,geo\time"	2021M03 	2021M04 	2021M05 	2021M06 	2021M07 	2021M08 	2021M09 	2021M10 	2021M11 	2021M12 	2022M01 	2022M02 
"BS-ESI-I,SA,AL"	91.6	108.9	102.7	107	110.8	113.1	110.8	107.4	110.4	112.1	110.5	105.4
"BS-ESI-I,SA,AT"	104	111.9	116.3	122.9	121.4	119.6	115.3	118.3	116	110.7	110.5	112.1
"BS-ESI-I,SA,BE"	102.8	113.6	115.2	118.6	118.8	115.5	112.6	112.5	114	111.2	107.4	107.7
"BS-ESI-I,SA,BG"	89.7	98.2	98.4	100.9	102.1	100	99	97.7	95.8	100.3	100.8	101.7
"BS-ESI-I,SA,CY"	85.1	93.4	100.7	105.2	102.2	105.1	104.5	106.1	104.9	107.6	105.6	109.3
"BS-ESI-I,SA,CZ"	83.8	95.2	99.9	106.6	96.9	95	92.1	93.1	92.2	91.6	94.1	99.3
"BS-ESI-I,SA,DE"	102.8	108.2	111	116	116.2	115.8	116.6	116	114.3	111.5	112.3	113.5
"BS-ESI-I,SA,DK"	98.7	111.4	114	113.4	113.7	112.8	115.9	117.9	112.3	110.3	106.3	105.8
"BS-ESI-I,SA,EA19"	100	109.4	113.4	116.7	117.6	116.3	116.4	117.2	116.2	113.8	112.7	114
"BS-ESI-I,SA,EE"	93.6	102.7	107.3	107.7	109.7	106.7	110.3	106.6	107.4	107.3	104.6	102.8
"BS-ESI-I,SA,EL"	96.6	97.7	108.4	108.4	110.9	112.6	109.4	112.1	113.1	110	114.2	114
"BS-ESI-I,SA,ES"	96.6	105.8	108.1	107	108.6	107.5	109.2	111.8	109.1	108.3	108.9	111.3
"BS-ESI-I,SA,EU27_2020"	99	108.8	112.8	115.8	116.6	115.3	115.3	116.2	115.2	113	111.6	112.8
"BS-ESI-I,SA,FI"	96	109	109.8	114	113.1	115.3	115.9	116.2	116.8	111	110.7	114.3
"BS-ESI-I,SA,FR"	95.8	105.3	110.4	112.1	115.7	111.8	110.6	112.5	116.2	113.7	110.9	112.8
"BS-ESI-I,SA,HR"	99.3	103.2	106.2	107.8	110.3	111.7	112.3	109	111	109.3	110	107.6
"BS-ESI-I,SA,HU"	91	98.8	103.8	105.1	108.6	110.6	110.1	112	112.6	107.1	108.1	107.9
"BS-ESI-I,SA,IE"	97.1	109.5	110.8	111.2	113.5	112.9	113.3	115.4	107.7	103.7	107.5	108.4
"BS-ESI-I,SA,IT"	98.8	104	114.6	116.7	118.3	116.4	115.6	117.2	118.2	116.7	110.6	111.6
"BS-ESI-I,SA,LT"	103	107.9	111.3	109.9	107.8	107.8	106.2	105.9	107.5	108.7	106.7	106.2
"BS-ESI-I,SA,LU"	104.8	115.3	118.8	120.5	117.7	121.9	116.6	113.2	113.8	112.9	114	115.1
"BS-ESI-I,SA,LV"	90.7	101.8	104.4	105.8	103	102	100	100.8	98.1	99.9	99.3	102.5
"BS-ESI-I,SA,ME"	78.2	92.5	104.6	108.4	110.2	106.1	107.4	101.8	107.4	111.5	113.9	111.5
"BS-ESI-I,SA,MK"	78.5	84.9	90.1	93.4	95.5	95.9	91.8	89.9	94.1	93.5	87.6	89.4
"BS-ESI-I,SA,MT"	94.5	116.3	114.5	113	109.7	115.1	111.1	108.5	108	97.5	102.2	115.7
"BS-ESI-I,SA,NL"	97.5	108.2	111.3	113.3	112.9	110	110.6	112	109.9	105.8	104.5	102.8
"BS-ESI-I,SA,PL"	89.5	100.9	105.9	105.9	105.3	103.3	103.9	105	105.4	106.2	102	100.3
"BS-ESI-I,SA,PT"	93	103.9	111.3	110.5	104.7	106.2	106.9	108	108.3	108	105.4	109.1
"BS-ESI-I,SA,RO"	91.2	101.7	104.3	102.7	103.6	102.3	100.4	99.8	99.6	102.5	101.2	101.2
"BS-ESI-I,SA,RS"	90	104.6	109.4	109.7	113.6	110	106	104.1	103.9	108.5	104.3	103.9
"BS-ESI-I,SA,SE"	105	115.3	120.2	118.5	120.8	120.5	118.9	121	119.1	119	112.7	113.5
"BS-ESI-I,SA,SI"	98.6	106.1	109.3	108.1	106.3	103.4	102.6	99.4	102.1	102.8	102.5	104.5
"BS-ESI-I,SA,SK"	85.2	104	99.6	104.3	98.9	96.9	97.2	93.3	96	91.5	95.4	91.5
"BS-ESI-I,SA,TR"	93.6	100.5	95.6	96.6	97.5	98.9	103.8	101.5	100.6	99.9	101.1	97.7
