"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","HUR","TOT","PC_LF","Q","2000-Q1",4.233333,
"AUT","HUR","TOT","PC_LF","Q","2000-Q2",3.7,
"AUT","HUR","TOT","PC_LF","Q","2000-Q3",3.833333,
"AUT","HUR","TOT","PC_LF","Q","2000-Q4",3.766667,
"AUT","HUR","TOT","PC_LF","Q","2001-Q1",3.633333,
"AUT","HUR","TOT","PC_LF","Q","2001-Q2",4,
"AUT","HUR","TOT","PC_LF","Q","2001-Q3",4.1,
"AUT","HUR","TOT","PC_LF","Q","2001-Q4",4.3,
"AUT","HUR","TOT","PC_LF","Q","2002-Q1",4.5,
"AUT","HUR","TOT","PC_LF","Q","2002-Q2",4.233333,
"AUT","HUR","TOT","PC_LF","Q","2002-Q3",4.4,
"AUT","HUR","TOT","PC_LF","Q","2002-Q4",4.433333,
"AUT","HUR","TOT","PC_LF","Q","2003-Q1",4.533333,
"AUT","HUR","TOT","PC_LF","Q","2003-Q2",4.8,
"AUT","HUR","TOT","PC_LF","Q","2003-Q3",4.8,
"AUT","HUR","TOT","PC_LF","Q","2003-Q4",5.033333,"B"
"AUT","HUR","TOT","PC_LF","Q","2004-Q1",5.966667,
"AUT","HUR","TOT","PC_LF","Q","2004-Q2",5.8,
"AUT","HUR","TOT","PC_LF","Q","2004-Q3",5.8,
"AUT","HUR","TOT","PC_LF","Q","2004-Q4",5.933333,
"AUT","HUR","TOT","PC_LF","Q","2005-Q1",5.8,
"AUT","HUR","TOT","PC_LF","Q","2005-Q2",6.133333,
"AUT","HUR","TOT","PC_LF","Q","2005-Q3",6.033333,
"AUT","HUR","TOT","PC_LF","Q","2005-Q4",6.133333,
"AUT","HUR","TOT","PC_LF","Q","2006-Q1",6.1,
"AUT","HUR","TOT","PC_LF","Q","2006-Q2",5.666667,
"AUT","HUR","TOT","PC_LF","Q","2006-Q3",5.266667,
"AUT","HUR","TOT","PC_LF","Q","2006-Q4",5.333333,
"AUT","HUR","TOT","PC_LF","Q","2007-Q1",5.266667,
"AUT","HUR","TOT","PC_LF","Q","2007-Q2",5.5,
"AUT","HUR","TOT","PC_LF","Q","2007-Q3",5.266667,
"AUT","HUR","TOT","PC_LF","Q","2007-Q4",4.833333,
"AUT","HUR","TOT","PC_LF","Q","2008-Q1",4.533333,
"AUT","HUR","TOT","PC_LF","Q","2008-Q2",4.066667,
"AUT","HUR","TOT","PC_LF","Q","2008-Q3",4.366667,
