ref_area.label,Average Unemployment Rate,Average GDP,Advanced Education,Intermediate Education,Inflation,depression,% of young employers(15-24),Average Wages,Average Sleep
Austria,5.214545454545455,640.4206184156417,27.823726983309594,57.11724850236697,1.8235339227777776,3.897818604438406,,58.895,7.183
Belgium,7.253571428571426,709.6307287721248,42.17782716079642,39.24143767053751,1.7449233516666665,4.455466280643335,8.075380239215106,64.34833333333333,7.3
Bulgaria,8.11071428571429,109.098869781846,28.80538546845998,57.71367340833282,,2.882525960726737,6.090223847838881,48.0425,7.15
Croatia,11.869090909090913,221.4553250470328,24.129892866910488,63.45741192569984,,3.239540054281869,8.781354649901175,58.42000000000001,7.233
Cyprus,9.782142857142858,388.27427479075664,42.71247707162624,38.762742345623096,,3.765708375109074,9.06205640517449,52.95,
Czechia,4.766071428571429,269.3403766249762,21.64429417328513,73.00512681483595,2.0670228092592597,,6.454611496648334,53.95583333333334,7.183
Denmark,6.199999999999997,829.0409139050382,34.09423452158457,42.26302377264053,1.3103857959259255,4.076574611456485,14.700963901792608,59.08916666666668,7.25
Estonia,8.298214285714286,248.62724609943103,37.841543904525,51.711521314731215,2.4320246857407404,3.804305607714049,8.789435527249195,54.65416666666668,7.367
Finland,7.967857142857142,679.6560975350251,40.30814569468644,46.391953056414245,1.3102906822222222,5.973560737469014,11.953549613408436,57.28833333333335,7.5
France,9.021428571428576,627.5100607610138,36.606135380266,43.98148045538832,1.0956632232592591,4.601454855746111,9.731513879011748,61.74166666666667,
Germany,5.109615384615385,597.3608270823854,27.986583354524917,57.93351123299925,1.3260504496296297,4.574229189477919,10.398459733646874,61.93166666666667,7.233
Greece,18.985454545454555,448.1345280551205,31.0366885682284,42.366434494545466,0.7373021464814818,6.353230205176865,6.087452246999821,56.306666666666665,7.1
Hungary,7.175,201.1107272587864,25.418978569182293,61.8795694795396,2.9657422066666665,2.966710089241716,7.11659215472191,50.56999999999999,7.167
Iceland,4.892857142857143,643.0544518323584,33.88387758431811,35.81288021816656,4.475821148148148,3.697216392320013,16.232513490591536,61.03333333333333,7.383
Ireland,9.978181818181817,987.3950383114488,43.89200271319213,36.97226431889502,0.3455509233333333,5.327828485922399,13.15815588594504,45.02166666666667,7.283
Italy,10.069642857142856,653.8759142252779,19.741812334151778,46.445320016094186,1.181332505185185,4.216119435773863,6.324784138946843,59.380833333333335,7.083
Latvia,11.175,207.70820892439423,32.80413539034001,57.39334042180207,2.3321595663351857,3.852566291450817,8.777262736699731,51.39333333333335,7.15
Lithuania,10.075,216.74719744767503,40.03886946288371,54.84708364244442,2.581694009814815,4.265404109534487,8.159720549265236,47.54083333333333,7.3
Luxembourg,5.594545454545456,1530.6909585411029,42.17050091626872,34.51744316749664,1.611620003444444,,7.229259929517094,54.9475,7.117
Malta,5.25,358.88156335250443,26.697680645269244,32.15050704508181,,3.81896585709594,13.442521631644006,49.80166666666667,6.967
Montenegro,17.69625,131.0025501559832,27.794561513711265,62.94381750148147,,3.1615049082089626,9.474276676169085,46.49333333333333,
Netherlands,5.1125,819.6522968395864,34.555802017050944,41.367711811679605,1.6364722439814812,4.382998984675189,15.886623740051602,63.995,7.467
North Macedonia,26.206181818181825,99.24130509063582,22.285577650565703,54.392736304390496,,2.832297040822596,9.908447088487838,44.932500000000005,
Norway,3.6982142857142857,1095.63876319285,40.36637285099899,41.05834042677519,2.206214864814815,4.27736504907894,13.369677970071772,50.03000000000001,7.333
Poland,6.882142857142858,211.99509934630328,30.733054855353764,62.60821791846743,2.153086433333334,2.4993453515294357,8.376386251414383,47.90916666666667,7.083
Portugal,10.53214285714286,314.69617086938257,22.92812829416825,24.035105457789896,0.9860126498888888,5.28237026222435,7.403577044713733,58.11750000000001,
Romania,5.989090909090908,168.72086580866164,18.3322562640205,59.74510391019609,,2.906157192550879,7.691727360235606,41.99,7.15
Serbia,15.512380952380944,125.16375168011584,23.404087806942314,51.05729474381893,,3.0021935347787747,7.2529067480296305,51.56416666666667,
Slovakia,10.430357142857146,238.64018329693172,22.02700556622309,72.12534304917726,1.8060395042592592,,7.672179109568821,48.56166666666666,7.2
Slovenia,6.96607142857143,321.28231141593807,31.835042510298887,57.5069681830134,1.3399486016666666,3.473951644496752,7.735082503007332,58.78083333333333,7.167
Spain,18.891071428571426,470.194131282468,37.36074261517624,23.73603011429329,1.212227927777778,5.305419265502439,7.535070909699472,60.2775,
Sweden,7.608928571428572,703.9462300165468,37.355300990026485,46.42235836926101,1.1281496522962964,5.409227443287612,12.28682947246898,55.39333333333334,7.3
Switzerland,4.7326530612244895,1079.328676236741,37.509936788885824,47.272341951043565,0.0804506012592592,4.475827964932652,13.015463138746943,67.9425,7.317
Turkey,10.67115384615385,209.48930178476493,20.680751040976546,20.91450457290209,,5.049210172498674,16.43038658360421,36.703333333333326,
United Kingdom,5.96470588235294,591.5761562925861,39.62908569230244,41.92955963812774,2.062962962962963,5.274675285983557,13.643120543513035,57.73500000000001,
